iter	Accuracy	Logloss
776	0.9938217123	0.1194702116
777	0.9947043248	0.1192746329
778	0.9947043248	0.1189845188
779	0.9938217123	0.1189020607
780	0.9938217123	0.1187490806
781	0.9938217123	0.1183039369
782	0.9938217123	0.1180796509
783	0.9938217123	0.1177323784
784	0.9938217123	0.1175838577
785	0.9938217123	0.1175216366
786	0.9938217123	0.1172274308
787	0.9938217123	0.117022865
788	0.9938217123	0.1168396898
789	0.9938217123	0.1166897483
790	0.9938217123	0.1166337703
791	0.9938217123	0.1165650448
792	0.9938217123	0.1164452305
793	0.9938217123	0.1163279444
794	0.9938217123	0.1161542983
795	0.9938217123	0.1160015432
796	0.9938217123	0.1159121826
797	0.9938217123	0.1158481923
798	0.9938217123	0.1158352792
799	0.9938217123	0.1156384977
800	0.9938217123	0.1151874764
801	0.9938217123	0.1150253974
802	0.9938217123	0.1149418113
803	0.9938217123	0.1147532828
804	0.9938217123	0.1146103691
805	0.9938217123	0.1144724286
806	0.9938217123	0.114248626
807	0.9938217123	0.1141739904
808	0.9938217123	0.1140184399
809	0.9938217123	0.1137027393
810	0.9938217123	0.1134340543
811	0.9938217123	0.1132599503
812	0.9938217123	0.1131587877
813	0.9938217123	0.1128953609
814	0.9938217123	0.1128381353
815	0.9938217123	0.112742083
816	0.9938217123	0.11271837
817	0.9938217123	0.1123583349
818	0.9938217123	0.112190173
819	0.9938217123	0.1120700017
820	0.9938217123	0.1120244407
821	0.9938217123	0.1118225223
822	0.9938217123	0.1116908675
823	0.9947043248	0.1113781533
824	0.9947043248	0.111217272
825	0.9947043248	0.111082567
826	0.9947043248	0.1108585791
827	0.9947043248	0.1107937149
828	0.9947043248	0.1106500433
829	0.9947043248	0.1105768496
830	0.9947043248	0.1104414377
831	0.9947043248	0.1103246123
832	0.9947043248	0.1102396721
833	0.9947043248	0.1101185693
834	0.9947043248	0.1100052343
835	0.9947043248	0.1096940892
836	0.9947043248	0.1094328382
837	0.9947043248	0.1091516169
838	0.9947043248	0.1091058365
839	0.9947043248	0.1089257587
840	0.9947043248	0.1088583642
841	0.9947043248	0.1087764667
842	0.9947043248	0.1085494204
843	0.9947043248	0.1084023928
844	0.9947043248	0.1083247577
845	0.9947043248	0.1082839395
846	0.9955869373	0.1081325895
847	0.9955869373	0.1080246037
848	0.9947043248	0.1079219511
849	0.9947043248	0.107872122
850	0.9947043248	0.1078356623
851	0.9947043248	0.1077654466
852	0.9947043248	0.1076665232
853	0.9947043248	0.1075410286
854	0.9947043248	0.1074239232
855	0.9947043248	0.1071548456
856	0.9947043248	0.1070595345
857	0.9955869373	0.1066757907
858	0.9955869373	0.1063678254
859	0.9955869373	0.1063066326
860	0.9964695499	0.1061184188
861	0.9955869373	0.106033349
862	0.9955869373	0.1058734528
863	0.9964695499	0.1058596619
864	0.9955869373	0.1057888415
865	0.9964695499	0.1055788089
866	0.9955869373	0.1055207183
867	0.9964695499	0.1053213475
868	0.9964695499	0.1052148039
869	0.9964695499	0.1051857019
870	0.9973521624	0.1049642612
871	0.9973521624	0.104944766
872	0.9973521624	0.1049408799
873	0.9973521624	0.1046298499
874	0.9973521624	0.104540967
875	0.9973521624	0.1045000093
876	0.9973521624	0.1042269764
877	0.9973521624	0.104134516
878	0.9973521624	0.104084925
879	0.9973521624	0.1037488709
